customer_id,age_band,gender,customer_segment,tenure_years,clv_score,risk_score
CUST-89B22941,46-60,F,Loyal,6,154.22,83
CUST-33CED412,36-45,M,At-Risk,13,179.18,48
CUST-75A9F26A,26-35,M,Loyal,11,588.14,30
CUST-FCF385DD,26-35,F,Loyal,3,59.16,22
CUST-3DD6153A,46-60,M,Loyal,15,490.19,9
CUST-F2E4CF8A,26-35,Unknown,At-Risk,2,97.72,12
CUST-FFE85152,36-45,F,Loyal,5,83.33,4
CUST-483F6321,60+,M,Loyal,11,506.81,8
CUST-3E27A03D,36-45,F,Loyal,8,159.55,39
CUST-F5AA7348,46-60,F,At-Risk,7,29.8,16
CUST-E2A8014B,26-35,M,Loyal,14,359.64,8
CUST-98BCB9D6,36-45,F,Loyal,12,434.2,15
CUST-D8FB0BBB,60+,Unknown,Loyal,15,819.43,57
CUST-36A882B5,46-60,M,New,5,84.31,48
CUST-9E4623D4,46-60,F,Loyal,13,128.35,17
CUST-1AED1510,36-45,M,At-Risk,4,48.43,54
CUST-A4606CC0,26-35,M,Loyal,13,395.55,82
CUST-8892116D,36-45,F,At-Risk,9,218.0,72
CUST-9DADAD63,18-25,F,Lapsed,9,210.65,35
CUST-EEF6F3A1,26-35,F,Loyal,2,62.23,44
CUST-8D879C82,36-45,M,Loyal,14,509.92,30
CUST-092ABAAA,18-25,F,New,5,97.5,4
CUST-B9EFBD51,26-35,M,Loyal,9,423.66,21
CUST-292C2A8A,26-35,F,Loyal,3,54.0,2
CUST-4571BAC8,36-45,M,Loyal,14,445.27,11
CUST-7F5CD210,60+,F,At-Risk,5,109.77,29
CUST-125D0136,60+,F,At-Risk,12,421.14,58
CUST-EB2526A4,26-35,M,Loyal,12,281.39,55
CUST-FB73038F,26-35,F,At-Risk,9,101.18,17
CUST-A1C53ED2,46-60,M,Lapsed,2,24.25,52
CUST-5C5EA88A,26-35,F,Loyal,5,97.5,11
CUST-D6DAEF9F,46-60,F,New,10,431.47,2
CUST-7EF29D75,18-25,F,At-Risk,9,130.59,25
CUST-6D7CF55B,46-60,M,At-Risk,9,579.45,1
CUST-95F83061,26-35,M,Loyal,4,93.46,17
CUST-48C92FC8,46-60,M,At-Risk,9,154.8,40
CUST-21CA28B0,36-45,M,Loyal,2,28.97,27
CUST-D79685E5,26-35,F,Loyal,8,81.85,33
CUST-5474EFEF,36-45,M,At-Risk,2,60.1,6
CUST-3AB6AA94,36-45,M,At-Risk,10,117.46,50
CUST-CA140A49,60+,M,New,9,293.01,33
CUST-2E5F31A7,36-45,F,New,13,90.36,87
CUST-9683ACE3,26-35,F,Loyal,7,141.47,5
CUST-2B90C994,36-45,M,Loyal,3,43.19,31
CUST-ABBBE9BA,26-35,Unknown,At-Risk,4,186.17,20
CUST-C0EDBD3D,60+,M,New,13,434.85,3
CUST-A2C1DDDB,46-60,F,At-Risk,15,807.65,20
CUST-4CB143A7,26-35,M,Loyal,1,9.33,8
CUST-AAE99DC2,36-45,F,Loyal,11,48.45,4
CUST-970E45E6,46-60,M,Loyal,8,394.64,22
CUST-920F7D87,26-35,Unknown,At-Risk,4,77.19,16
CUST-84F0DD1C,46-60,F,Loyal,8,277.87,42
CUST-C2A3A84C,36-45,F,Loyal,15,365.33,27
CUST-A414B1A7,36-45,F,Loyal,3,69.09,8
CUST-F6A3B066,36-45,M,Loyal,13,142.51,5
CUST-EA9C7628,36-45,M,Loyal,2,86.52,28
CUST-1A3CC685,46-60,F,Lapsed,11,179.37,75
CUST-2509BD25,36-45,F,At-Risk,2,95.53,65
CUST-0288F7C3,46-60,M,Loyal,1,5.04,23
CUST-62CDD9E7,36-45,M,At-Risk,1,43.47,48
CUST-0C7C15FB,46-60,M,Loyal,13,764.86,86
CUST-3C46ECA3,26-35,F,Loyal,9,464.34,46
CUST-2F01B9FD,36-45,F,Loyal,11,294.24,23
CUST-BBB3E5D9,36-45,F,New,3,75.69,5
CUST-77FE1090,36-45,M,Loyal,14,388.99,61
CUST-60DC21A1,18-25,F,Loyal,13,427.59,25
CUST-DE462696,36-45,M,Loyal,8,180.42,4
CUST-64159E94,18-25,M,New,14,207.98,13
CUST-8A7429B9,36-45,Unknown,Loyal,3,69.77,70
CUST-A4EE1D11,36-45,F,Loyal,5,134.73,6
CUST-D16E3574,46-60,F,Loyal,1,35.75,26
CUST-13F576C3,60+,F,Loyal,3,26.21,62
CUST-FCA15EF7,60+,M,Loyal,13,237.38,33
CUST-C8DDE155,60+,M,Loyal,7,307.94,11
CUST-47D6FE15,60+,M,Loyal,10,199.54,31
CUST-551A31CB,18-25,M,At-Risk,14,470.77,49
CUST-AC39FD21,26-35,F,Loyal,12,248.35,18
CUST-19FF66BE,26-35,F,Loyal,6,133.89,6
CUST-B29C9B3D,18-25,M,Loyal,6,123.51,9
CUST-C9B37670,46-60,F,Loyal,2,30.48,3
CUST-DED4629A,60+,M,Loyal,13,608.05,73
CUST-4606F433,46-60,M,Lapsed,15,224.53,41
CUST-DF163CC5,60+,M,Loyal,8,239.83,6
CUST-BEF92471,46-60,F,Loyal,8,110.97,24
CUST-8DA9DE9C,36-45,F,Loyal,13,561.15,85
CUST-55422680,26-35,Unknown,Lapsed,6,222.8,24
CUST-856B6EB3,60+,F,Loyal,7,43.69,12
CUST-5D3571B3,46-60,F,Loyal,14,455.67,15
CUST-7EDF8F60,36-45,F,Loyal,6,149.01,2
CUST-1A90B974,26-35,F,At-Risk,14,695.63,21
CUST-6708B4F6,46-60,F,At-Risk,3,25.38,20
CUST-EBA9D4DD,46-60,F,At-Risk,8,142.19,24
CUST-DB242ECD,36-45,M,At-Risk,8,220.12,6
CUST-738D4EC7,60+,M,Loyal,5,169.69,18
CUST-0B5A509E,36-45,F,Loyal,15,414.95,35
CUST-90E99322,60+,M,At-Risk,8,117.46,8
CUST-766D7D9F,46-60,F,Loyal,14,587.27,16
CUST-2A121A2A,46-60,Unknown,New,4,18.55,66
CUST-2DE8CCB8,60+,M,New,6,67.34,44
CUST-DB261AD5,46-60,M,Loyal,8,304.88,48
CUST-8957CD27,26-35,M,Loyal,9,170.88,9
CUST-B80F810F,60+,F,Loyal,4,131.09,7
CUST-39166D5D,36-45,F,Loyal,5,84.74,36
CUST-23FEA2E3,18-25,M,New,10,209.38,14
CUST-10EF5342,46-60,F,Loyal,5,252.89,21
CUST-54951039,36-45,F,At-Risk,12,292.12,40
CUST-6FF35D24,36-45,M,At-Risk,8,370.15,5
CUST-6C7DD39C,36-45,M,At-Risk,15,320.03,43
CUST-0BCE17AB,18-25,M,New,4,40.37,51
CUST-4A473AE6,26-35,F,Lapsed,13,358.82,5
CUST-37EBB31A,46-60,M,At-Risk,8,480.71,71
CUST-1E11CF35,26-35,M,Loyal,2,89.2,46
CUST-22E7D3E6,46-60,M,Loyal,11,44.3,19
CUST-907CEB26,36-45,F,Loyal,4,141.71,2
CUST-DBDFB106,26-35,F,Loyal,3,154.87,19
CUST-FBF768D9,26-35,M,At-Risk,8,187.31,31
CUST-4CEA75B6,36-45,F,Loyal,12,285.82,69
CUST-3693FD2E,60+,F,New,4,73.21,51
CUST-1FBE0F1B,60+,F,Loyal,10,225.0,29
CUST-5FABE8EF,36-45,F,At-Risk,1,37.08,76
CUST-1A994319,18-25,F,At-Risk,3,115.24,78
CUST-4DABE298,46-60,M,Loyal,12,697.26,5
CUST-B6C15919,36-45,M,Lapsed,1,19.93,15
CUST-5F377C00,36-45,F,New,6,194.94,22
CUST-AD1FE8B9,36-45,M,Loyal,8,67.92,5
CUST-FCD02F7C,46-60,M,Loyal,1,6.44,43
CUST-4CE475D3,36-45,F,At-Risk,15,92.75,5
CUST-2ECFF187,60+,F,At-Risk,8,285.67,17
CUST-128A8D3F,36-45,M,At-Risk,6,68.35,51
CUST-080C0BA4,36-45,F,At-Risk,15,414.28,12
CUST-FEA959AD,60+,M,Loyal,9,198.78,46
CUST-70F4965C,36-45,F,Loyal,11,177.97,52
CUST-22CF0217,18-25,F,Loyal,2,70.17,5
CUST-96868510,26-35,F,Loyal,3,8.32,4
CUST-A83147C8,46-60,F,Loyal,1,17.38,6
CUST-9F772ACB,36-45,Unknown,New,8,138.19,28
CUST-6556A1DA,36-45,F,Loyal,13,341.27,14
