policy_id,policy_type,line_of_business,policy_start_date,policy_end_date,agent_id,channel,premium_tier
POL-5BA8047C,Personal,Auto,2020-07-04,2025-07-03,AGT-9289,Broker,Low
POL-17CD7716,Personal,Auto,2018-06-16,2026-06-14,AGT-5662,Agent,Mid
POL-DA10B435,Personal,Homeowners,2016-01-27,2024-01-25,AGT-6526,Agent,High
POL-F4040388,Personal,Auto,2019-02-13,2028-02-11,AGT-4182,Agent,Low
POL-E3C207E3,Personal,Auto,2015-08-06,2023-08-04,AGT-9015,Direct,Low
POL-26EBF81C,Commercial,Liability,2019-07-27,2025-07-25,AGT-1675,Broker,High
POL-5504F235,Personal,Auto,2018-07-22,2025-07-20,AGT-3486,Direct,Mid
POL-B5A10961,Personal,Homeowners,2016-02-27,2023-02-25,AGT-9917,Broker,Mid
POL-B26ABD65,Personal,Auto,2015-07-06,2025-07-03,AGT-5356,Agent,Low
POL-6F5B142F,Personal,Auto,2019-01-23,2027-01-21,AGT-2572,Broker,Low
POL-5D356AE7,Personal,Auto,2017-02-22,2025-02-20,AGT-4723,Agent,Low
POL-AA70305F,Commercial,Commercial,2020-07-01,2029-06-29,AGT-3297,Agent,High
POL-9D8F672F,Personal,Auto,2019-08-14,2026-08-12,AGT-5727,Broker,Low
POL-755BF681,Personal,Homeowners,2019-08-28,2029-08-25,AGT-3123,Agent,High
POL-DD334311,Personal,Auto,2017-12-25,2026-12-23,AGT-4593,Agent,Mid
POL-26984D06,Personal,Auto,2019-11-08,2029-11-05,AGT-9170,Digital,Mid
POL-04F3C1C0,Personal,Auto,2021-05-19,2030-05-17,AGT-1741,Agent,Low
POL-7BA42ED8,Personal,Auto,2015-10-13,2023-10-11,AGT-7872,Direct,Mid
POL-1F7FB261,Personal,Homeowners,2017-02-04,2022-02-03,AGT-1703,Agent,High
POL-86A2254A,Personal,Auto,2016-11-08,2024-11-06,AGT-5115,Agent,Low
POL-CA10E908,Personal,Auto,2017-05-22,2022-05-21,AGT-7014,Broker,Low
POL-ACD91F84,Personal,Auto,2019-10-05,2027-10-03,AGT-9597,Broker,High
POL-AD7838AF,Commercial,Liability,2018-12-21,2027-12-19,AGT-3250,Agent,High
POL-BECA68CA,Commercial,Commercial,2018-09-14,2026-09-12,AGT-1474,Agent,High
POL-24E41C3E,Personal,Auto,2017-12-02,2023-12-01,AGT-7756,Agent,Mid
POL-213356FD,Personal,Auto,2016-01-04,2021-01-02,AGT-9042,Direct,Low
POL-F0A1FA91,Personal,Auto,2017-03-04,2026-03-02,AGT-6084,Broker,Low
POL-B48CBC32,Personal,Auto,2020-08-16,2029-08-14,AGT-1543,Direct,Low
POL-DF3DD92C,Personal,Auto,2018-07-17,2025-07-15,AGT-5505,Broker,Low
POL-8B061654,Personal,Auto,2017-02-13,2026-02-11,AGT-4519,Agent,Mid
POL-B12ABFA9,Personal,Auto,2019-09-20,2028-09-17,AGT-5062,Broker,Low
POL-8F8B53C5,Commercial,Liability,2015-01-22,2023-01-20,AGT-1485,Direct,High
POL-1A19AE4B,Personal,Auto,2017-12-28,2022-12-27,AGT-3855,Agent,Mid
POL-D075445E,Personal,Auto,2016-02-27,2026-02-24,AGT-9989,Digital,Mid
POL-893469C1,Personal,Auto,2021-06-12,2028-06-10,AGT-1412,Agent,Mid
POL-259DC31E,Personal,Auto,2019-10-28,2028-10-25,AGT-9228,Agent,Low
POL-867FD21C,Personal,Auto,2018-07-07,2028-07-04,AGT-5657,Broker,Low
POL-BBB0CA06,Personal,Auto,2015-09-29,2022-09-27,AGT-6262,Digital,High
POL-45716042,Personal,Auto,2016-09-13,2024-09-11,AGT-9400,Agent,Low
POL-A3CF9D02,Personal,Auto,2019-12-13,2024-12-11,AGT-2960,Digital,Low
POL-C1E12729,Personal,Auto,2017-06-19,2027-06-17,AGT-9858,Direct,Mid
POL-F9C20374,Personal,Homeowners,2021-12-24,2026-12-23,AGT-3490,Digital,High
POL-CDD81C6E,Personal,Auto,2019-07-08,2027-07-06,AGT-4141,Direct,High
POL-F27C8731,Personal,Auto,2018-11-23,2025-11-21,AGT-5045,Agent,Low
POL-65A9EDC1,Personal,Homeowners,2019-09-25,2024-09-23,AGT-6413,Direct,High
POL-C11BE7BB,Personal,Homeowners,2021-02-18,2028-02-17,AGT-3904,Broker,Low
POL-B554F8DC,Personal,Auto,2018-08-23,2028-08-20,AGT-8137,Digital,High
POL-DCE1B4C2,Personal,Auto,2019-11-17,2025-11-15,AGT-1191,Agent,Low
POL-79E4D3F0,Personal,Auto,2020-02-16,2026-02-14,AGT-6998,Agent,High
POL-7C91C3A6,Personal,Auto,2016-11-02,2022-11-01,AGT-6905,Agent,High
POL-8EE406F5,Personal,Auto,2020-02-08,2025-02-06,AGT-5810,Direct,Mid
POL-FD8C4B90,Personal,Auto,2015-11-14,2021-11-12,AGT-6520,Broker,Mid
POL-24BE45A9,Personal,Homeowners,2019-10-15,2027-10-13,AGT-7728,Direct,Mid
POL-E93B5FB3,Personal,Auto,2019-02-25,2028-02-23,AGT-9137,Digital,Mid
POL-5672A2DD,Personal,Auto,2018-09-23,2027-09-21,AGT-2965,Digital,Low
POL-E52F25E8,Personal,Homeowners,2018-02-12,2027-02-10,AGT-5291,Direct,High
POL-D5DA5D91,Personal,Auto,2018-07-27,2027-07-25,AGT-6059,Agent,Low
POL-B4F3E574,Personal,Auto,2016-12-03,2023-12-02,AGT-4102,Digital,Low
POL-60345187,Personal,Auto,2016-03-16,2026-03-14,AGT-9763,Digital,Low
POL-F9DA2BB6,Personal,Auto,2017-03-05,2023-03-04,AGT-5603,Broker,Mid
POL-E7C6B4C3,Personal,Auto,2018-06-04,2027-06-02,AGT-6333,Direct,Low
POL-BC75A891,Personal,Auto,2018-05-15,2023-05-14,AGT-2752,Direct,Mid
POL-DA55B8BA,Personal,Auto,2016-01-18,2025-01-15,AGT-4741,Broker,Low
POL-AA6CFF79,Personal,Auto,2020-06-15,2025-06-14,AGT-6629,Agent,Low
POL-213B0384,Personal,Auto,2017-04-05,2023-04-04,AGT-4854,Broker,Mid
POL-C85BC832,Personal,Auto,2018-02-15,2025-02-13,AGT-7929,Broker,Low
POL-46A2E3A0,Personal,Auto,2017-04-11,2026-04-09,AGT-2230,Agent,Mid
POL-7DB5F49D,Personal,Auto,2016-01-08,2021-01-06,AGT-2381,Direct,Mid
POL-544D38A1,Personal,Auto,2019-11-30,2025-11-28,AGT-4050,Agent,High
POL-8F1D3051,Personal,Auto,2018-12-29,2025-12-27,AGT-3865,Digital,Low
POL-7A1DC51A,Personal,Auto,2015-05-15,2024-05-12,AGT-8338,Agent,Low
POL-F1B13519,Personal,Auto,2021-11-16,2031-11-14,AGT-8809,Direct,High
POL-9A2C25AA,Personal,Homeowners,2020-06-17,2028-06-15,AGT-5247,Digital,High
POL-FB4BD108,Personal,Auto,2019-11-30,2027-11-28,AGT-5549,Broker,Mid
POL-03F54BA8,Personal,Auto,2020-03-04,2027-03-03,AGT-3649,Agent,Low
POL-37AEE086,Personal,Auto,2020-04-13,2029-04-11,AGT-5785,Broker,Low
POL-F8B9828A,Personal,Auto,2017-09-28,2022-09-27,AGT-7357,Agent,Mid
POL-ABDB843D,Personal,Auto,2018-03-22,2023-03-21,AGT-7500,Digital,Low
POL-1FC566E8,Personal,Auto,2018-10-28,2024-10-26,AGT-9719,Digital,Low
POL-FCF0747F,Personal,Homeowners,2017-06-05,2023-06-04,AGT-6200,Agent,High
POL-CE3156CF,Personal,Auto,2016-05-27,2023-05-26,AGT-4062,Agent,Low
POL-03A529DD,Personal,Auto,2016-06-14,2026-06-12,AGT-1626,Agent,High
POL-6D2FD850,Personal,Homeowners,2019-10-19,2027-10-17,AGT-7190,Broker,Low
POL-C377D6DF,Personal,Auto,2019-01-03,2026-01-01,AGT-8234,Broker,High
POL-4A71109F,Personal,Auto,2019-10-02,2025-09-30,AGT-5971,Agent,Mid
POL-473EEC2E,Personal,Auto,2017-10-12,2025-10-10,AGT-9304,Digital,High
POL-7A735094,Personal,Auto,2016-10-26,2022-10-25,AGT-3851,Agent,Mid
POL-2E43E79F,Personal,Auto,2018-12-30,2028-12-27,AGT-1479,Broker,Low
POL-EF0F7C8F,Personal,Auto,2018-10-13,2025-10-11,AGT-6697,Broker,Low
POL-87D78175,Personal,Auto,2020-07-11,2028-07-09,AGT-2091,Agent,Low
POL-DC67D538,Personal,Auto,2020-06-19,2030-06-17,AGT-1756,Direct,Mid
POL-2A1455C5,Personal,Auto,2020-05-21,2026-05-20,AGT-7317,Broker,Low
POL-1031CB53,Personal,Auto,2020-10-28,2027-10-27,AGT-4909,Broker,Mid
POL-9AC820DF,Personal,Auto,2021-05-24,2029-05-22,AGT-6439,Direct,High
POL-CBF99285,Personal,Auto,2018-07-29,2024-07-27,AGT-7728,Broker,Mid
POL-574B793B,Personal,Auto,2015-02-05,2020-02-04,AGT-4442,Agent,Mid
POL-C6B42D84,Personal,Auto,2015-04-26,2021-04-24,AGT-6499,Agent,High
POL-E112EA15,Personal,Auto,2017-04-08,2022-04-07,AGT-5852,Broker,Mid
POL-EB78B4A2,Personal,Auto,2017-06-08,2026-06-06,AGT-6219,Agent,Low
POL-31DA6CAE,Commercial,Liability,2016-07-02,2021-07-01,AGT-7329,Broker,High
POL-8BC3FCAD,Commercial,Commercial,2021-09-19,2027-09-18,AGT-4423,Broker,High
POL-0E9E3D03,Personal,Auto,2016-06-06,2026-06-04,AGT-5539,Direct,Low
POL-3C2392C6,Personal,Auto,2021-02-24,2029-02-22,AGT-6319,Agent,Mid
POL-340A4769,Commercial,Liability,2019-07-18,2028-07-15,AGT-2261,Agent,High
POL-87BA1A12,Personal,Auto,2019-01-20,2028-01-18,AGT-2904,Direct,Mid
POL-B989B44D,Personal,Auto,2019-11-06,2025-11-04,AGT-1804,Broker,Low
POL-6EFCA9E9,Personal,Auto,2017-10-09,2025-10-07,AGT-2782,Direct,Low
POL-B090F6ED,Personal,Auto,2019-03-24,2025-03-22,AGT-4949,Digital,High
POL-49DE7053,Personal,Auto,2016-04-06,2024-04-04,AGT-9437,Agent,Low
POL-DEBB1E55,Commercial,Commercial,2021-01-11,2030-01-09,AGT-9305,Agent,High
